row,1,2,3,4,5,6,7,8,9,10,11,12
A,N2,N2,N2,N2,N2,N2,N2,N2,N2,N2,N2,NA
B,ECA3358,ECA3358,ECA3358,ECA3358,ECA3358,ECA3358,ECA3358,ECA3358,ECA3358,ECA3358,ECA3358,NA
C,ECA882,ECA882,ECA882,ECA882,ECA882,ECA882,ECA882,ECA882,ECA882,ECA882,ECA882,NA
D,ECA3353,ECA3353,ECA3353,ECA3353,ECA3353,ECA3353,ECA3353,ECA3353,ECA3353,ECA3353,ECA3353,NA
E,N2,N2,N2,N2,N2,N2,N2,N2,N2,N2,N2,NA
F,ECA3358,ECA3358,ECA3358,ECA3358,ECA3358,ECA3358,ECA3358,ECA3358,ECA3358,ECA3358,ECA3358,NA
G,ECA882,ECA882,ECA882,ECA882,ECA882,ECA882,ECA882,ECA882,ECA882,ECA882,ECA882,NA
H,ECA3353,ECA3353,ECA3353,ECA3353,ECA3353,ECA3353,ECA3353,ECA3353,ECA3353,ECA3353,ECA3353,NA
